Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Michael Thomas*+\ThomMi05,NOR,25,WR,16,16,147,125,85.0%,1405,11.2,9,72,9.6,7.8,87.8,2
2,Zach Ertz*\ErtzZa00,PHI,28,TE,16,16,156,116,74.4%,1163,10.0,8,34,7.5,7.3,72.7,1
3,DeAndre Hopkins*+\HopkDe00,HOU,26,WR,16,16,163,115,70.6%,1572,13.7,11,49,9.6,7.2,98.3,2
4,Julio Jones*\JoneJu02,ATL,29,WR,16,16,170,113,66.5%,1677,14.8,8,58,9.9,7.1,104.8,2
5,Adam Thielen*\ThieAd00,MIN,28,WR,16,16,153,113,73.9%,1373,12.2,9,68,9.0,7.1,85.8,1
6,Davante Adams*\AdamDa01,GNB,26,WR,15,15,169,111,65.7%,1386,12.5,13,57,8.2,7.4,92.4,0
7,JuJu Smith-Schuster*\SmitJu00,PIT,22,WR,16,13,166,111,66.9%,1426,12.8,7,97,8.6,6.9,89.1,1
8,Christian McCaffrey\McCaCh01,CAR,22,RB,16,16,124,107,86.3%,867,8.1,6,38,7.0,6.7,54.2,4
9,Antonio Brown*\BrowAn04,PIT,30,WR,15,15,168,104,61.9%,1297,12.5,15,78,7.7,6.9,86.5,0
10,Travis Kelce*+\KelcTr00,KAN,29,TE,16,16,150,103,68.7%,1336,13.0,10,43,8.9,6.4,83.5,2
11,Stefon Diggs\DiggSt00,MIN,25,WR,15,14,149,102,68.5%,1021,10.0,9,75,6.9,6.8,68.1,0
12,Keenan Allen*\AlleKe00,LAC,26,WR,16,14,136,97,71.3%,1196,12.3,6,54,8.8,6.1,74.8,3
13,Saquon Barkley*\BarkSa00,NYG,21,RB,16,16,121,91,75.2%,721,7.9,4,57,6.0,5.7,45.1,0
14,George Kittle*\KittGe00,SFO,25,TE,16,16,136,88,64.7%,1377,15.6,5,85,10.1,5.5,86.1,0
15,Tyreek Hill*+\HillTy00,KAN,24,WR,16,16,137,87,63.5%,1479,17.0,12,75,10.8,5.4,92.4,0
16,James White\WhitJa02,NWE,26,rb,16,3,123,87,70.7%,751,8.6,7,42,6.1,5.4,46.9,0
17,Mike Evans*\EvanMi00,TAM,25,WR,16,16,138,86,62.3%,1524,17.7,8,72,11.0,5.4,95.3,2
18,Robert Woods\WoodRo02,LAR,26,WR,16,16,130,86,66.2%,1219,14.2,6,39,9.4,5.4,76.2,0
19,Alvin Kamara*\KamaAl00,NOR,23,RB,15,13,105,81,77.1%,709,8.8,4,42,6.8,5.4,47.3,1
20,Jarvis Landry*\LandJa00,CLE,26,WR,16,14,149,81,54.4%,976,12.0,4,51,6.6,5.1,61.0,1
21,Brandin Cooks\CookBr00,LAR,25,WR,16,16,117,80,68.4%,1204,15.1,5,57,10.3,5.0,75.3,1
22,Odell Beckham\BeckOd00,NYG,26,WR,12,12,124,77,62.1%,1052,13.7,6,51,8.5,6.4,87.7,2
23,Ezekiel Elliott*\ElliEz00,DAL,23,RB,15,15,95,77,81.1%,567,7.4,3,38,6.0,5.1,37.8,6
24,Tyler Boyd\BoydTy00,CIN,24,WR,14,14,108,76,70.4%,1028,13.5,7,49,9.5,5.4,73.4,0
25,T.Y. Hilton\HiltT.00,IND,29,WR,14,14,120,76,63.3%,1270,16.7,6,68,10.6,5.4,90.7,0
26,Adam Humphries\HumpAd00,TAM,25,WR,16,10,105,76,72.4%,816,10.7,5,51,7.8,4.8,51.0,2
27,Amari Cooper*\CoopAm00,2TM,24,,15,15,107,75,70.1%,1005,13.4,7,90,9.4,5.0,67.0,2
28,Julian Edelman\EdelJu00,NWE,32,WR,12,12,108,74,68.5%,850,11.5,6,36,7.9,6.2,70.8,1
29,Golden Tate\TateGo00,2TM,30,,15,8,113,74,65.5%,795,10.7,4,67,7.0,4.9,53.0,3
30,Tarik Cohen*+\CoheTa00,CHI,23,rb/wr,16,7,91,71,78.0%,725,10.2,5,70,8.0,4.4,45.3,7
31,Austin Hooper*\HoopAu00,ATL,24,te,16,7,88,71,80.7%,660,9.3,4,36,7.5,4.4,41.3,0
32,Emmanuel Sanders\SandEm00,DEN,31,WR,12,12,98,71,72.4%,868,12.2,4,64,8.9,5.9,72.3,1
33,Kenny Golladay\GollKe00,DET,25,WR,15,13,119,70,58.8%,1063,15.2,5,60,8.9,4.7,70.9,1
34,Larry Fitzgerald\FitzLa00,ARI,35,WR,16,16,112,69,61.6%,734,10.6,6,37,6.6,4.3,45.9,0
35,Jared Cook*\CookJa02,OAK,31,TE,16,14,101,68,67.3%,896,13.2,6,45,8.9,4.3,56.0,0
36,Jalen Richard\RichJa01,OAK,25,rb,16,1,81,68,84.0%,607,8.9,0,32,7.5,4.3,37.9,3
37,Taylor Gabriel\GabrTa00,CHI,27,WR,16,11,93,67,72.0%,688,10.3,2,54,7.4,4.2,43.0,1
